id,市区町村,都道府県,面積(km2),経度,緯度
1001,稚内市,北海道,760.32,141.82838,45.3326
1002,Toyotomi,北海道,519.65,141.79186,45.14578
1003,宗谷郡猿払村,北海道,588.56,142.1128,45.22547
1004,枝幸郡浜頓別町,北海道,399.3,142.30837,45.07584
1005,天塩郡幌延町,北海道,573.65,141.95199,45.00137
1006,枝幸郡中頓別町,北海道,397.82,142.27787,44.91349
1007,中川郡中川町,北海道,593.45,142.09337,44.69029
1008,天塩郡天塩町,北海道,352.79,141.8616,44.8795
1009,Embetsu,北海道,589.25,141.93341,44.62025
1010,苫前郡初山別村,北海道,279.25,141.84055,44.50667
1011,雨竜郡幌加内町,北海道,765.67,142.15441,44.2309
1012,Haboro,北海道,471.88,141.8953,44.33335
1013,中川郡美深町,北海道,670.16,142.3961,44.54033
1014,中川郡音威子府村,北海道,274.97,142.24735,44.71471
1015,Esashi,北海道,1115.41,142.54287,44.77444
1016,紋別郡雄武町,北海道,635.56,142.83215,44.53653
1017,名寄市,北海道,534.23,142.45933,44.33949
1018,Shibetsu,北海道,1117.19,142.54052,44.11521
1019,上川郡和寒町,北海道,224.56,142.37435,44.01052
1020,Kembuchi,北海道,130.62,142.34143,44.10355
1021,上川郡比布町,北海道,86.72,142.48505,43.91865
1022,上川郡愛別町,北海道,249.79,142.63556,43.94297
1023,上川郡上川町,北海道,1047.7,142.92789,43.75101
1024,上川郡下川町,北海道,643.04,142.71664,44.31357
1025,紋別郡西興部村,北海道,307.24,142.9241,44.32058
1026,紋別郡興部町,北海道,361.95,143.0913,44.3968
1027,Takinoue,北海道,765.24,143.01256,44.10353
1028,Mombetsu,北海道,834.75,143.29309,44.20329
1029,Engaru,北海道,1332.93,143.31121,43.9072
1030,紋別郡湧別町,北海道,496.79,143.60777,44.12756
1031,常呂郡佐呂間町,北海道,403.99,143.78418,44.02426
1032,北見市,北海道,1424.02,143.71525,43.85169
1033,河東郡上士幌町,北海道,695.47,143.1933,43.38502
1034,Tohma,北海道,204.42,142.59415,43.81922
1035,上川郡鷹栖町,北海道,139.39,142.3366,43.88921
1036,Aashikawa,北海道,745.85,142.37012,43.75786
1037,上川郡東川町,北海道,246.52,142.68498,43.67291
1038,上川郡美瑛町,北海道,675.7,142.6119,43.55801
1039,上川郡新得町,北海道,1061.82,142.86374,43.31747
1040,上川郡東神楽町,北海道,68.44,142.4911,43.67417
1041,芦別市,北海道,863.56,142.20163,43.42548
1042,空知郡中富良野町,北海道,108.32,142.42911,43.40269
1043,空知郡上富良野町,北海道,236.65,142.52698,43.45393
1044,空知郡南富良野町,北海道,664.08,142.56108,43.16703
