都道府県,人口(2000),人口(2005),人口(2010),人口(2015),人口(2020),高齢化率(2000),高齢化率(2010),高齢化率(2020)
北海道,5683062,5627737,5506419,5381733,5224614,18.2,24.7,32.1
青森県,1475728,1436657,1373339,1308265,1237984,19.6,25.8,33.7
岩手県,1416180,1385041,1330147,1279594,1210534,21.5,27.2,33.6
宮城県,2365320,2360218,2348165,2333899,2301996,17.3,22.0,28.1
秋田県,1189279,1145501,1085997,1023119,959502,23.5,29.6,37.5
山形県,1244147,1216181,1168924,1123891,1068027,22.5,27.6,33.4
福島県,2126935,2091319,2029064,1914039,1833152,20.4,25.0,31.7
茨城県,2985676,2975167,2969770,2916976,2867009,16.3,21.4,29.9
栃木県,2004817,2016631,2007683,1974255,1933146,16.3,21.5,28.6
群馬県,2024852,2024135,2008068,1973115,1939110,17.7,23.0,29.9
埼玉県,6938006,7054243,7194556,7266534,7344765,12.9,20.0,27.0
千葉県,5926285,6056462,6216289,6222666,6284480,14.0,21.5,27.9
東京都,12064101,12576601,13159388,13515271,14047594,15.5,20.4,22.7
神奈川県,8489974,8791597,9048331,9126214,9237337,13.8,20.2,25.6
新潟県,2475733,2431459,2374450,2304264,2201272,20.0,25.6,32.4
富山県,1120851,1111729,1093247,1066328,1034814,21.0,26.7,32.6
石川県,1180977,1174026,1169788,1154008,1132526,18.6,23.6,29.6
福井県,828944,821592,806314,786740,766863,20.4,25.5,30.6
山梨県,888172,884515,863075,834930,809974,18.7,24.4,30.7
長野県,2215168,2196114,2152449,2098804,2048011,21.5,26.5,32.0
岐阜県,2107700,2107226,2080773,2031903,1978742,18.4,23.8,30.4
静岡県,3767393,3792377,3765007,3700305,3633202,17.4,23.0,30.1
愛知県,7043300,7254704,7410719,7483128,7542415,14.5,20.3,25.3
三重県,1857339,1866963,1854724,1815865,1770254,18.5,23.8,29.6
滋賀県,1342832,1380361,1410777,1412916,1413610,15.2,20.7,26.0
京都府,2644391,2647660,2636092,2610353,2578087,17.3,23.4,29.1
大阪府,8805081,8817166,8865245,8839469,8837685,14.6,22.4,27.6
兵庫県,5550574,5590601,5588133,5534800,5465002,16.9,23.1,29.3
奈良県,1442795,1421310,1400728,1364316,1324473,17.2,24.0,31.3
和歌山県,1069912,1035969,1002198,963579,922584,21.4,27.3,33.1
鳥取県,613289,607012,588667,573441,553407,21.4,27.0,32.1
島根県,761503,742223,717397,694352,671126,24.8,29.1,34.0
岡山県,1950828,1957264,1945276,1921525,1888432,19.4,25.0,30.3
広島県,2878915,2876642,2860750,2843990,2799702,18.4,23.7,29.4
山口県,1527964,1492606,1451338,1404729,1342059,22.2,27.9,34.3
徳島県,824108,809950,785491,755733,719559,21.4,26.8,33.6
香川県,1022890,1012400,995842,976263,950244,20.5,25.6,31.8
愛媛県,1493092,1467815,1431493,1385262,1334841,20.8,26.0,32.7
高知県,813949,796292,764456,728276,691527,23.6,28.8,35.2
福岡県,5015699,5049908,5071968,5101556,5135214,17.4,22.6,27.9
佐賀県,876654,866369,849788,832832,811442,19.5,24.2,30.3
長崎県,1516523,1478632,1426779,1377187,1312317,20.4,26.0,32.1
熊本県,1859344,1842233,1817426,1786170,1738301,20.5,25.2,30.6
大分県,1221140,1209571,1196529,1166338,1123852,21.4,26.7,32.9
宮崎県,1170007,1153042,1135233,1104069,1069576,20.4,25.5,32.1
鹿児島県,1786194,1753179,1706242,1648177,1588256,22.6,26.3,32.4
沖縄県,1318220,1361594,1392818,1433566,1467480,13.2,17.4,22.0
